,caffe_pascucci,caffebene,tomandtoms,starbucks,hollys,twosome,yogerpresso,ediya,pop,income,shortName,x,y,면적,광역시도,행정구역
0,19,2,24,76,15,40,3,40,232750,5857412.304,서울강남,6,7,39.5,서울특별시,강남구
1,0,4,3,13,5,5,1,24,182094,3026804.514,서울강동,8,5,24.6,서울특별시,강동구
2,1,2,1,5,1,5,4,20,144155,2255825.018,서울강북,5,2,23.6,서울특별시,강북구
3,8,3,6,15,8,13,8,44,262442,2902039.649,서울강서,4,4,41.4,서울특별시,강서구
4,3,4,6,11,8,9,2,28,268218,2475292.423,서울관악,5,6,29.6,서울특별시,관악구
5,2,2,7,15,6,9,6,24,164258,2956848.289,서울광진,7,6,17.05,서울특별시,광진구
6,2,1,2,10,5,7,6,29,176437,2708165.123,서울구로,4,7,20.11,서울특별시,구로구
7,0,1,2,10,3,11,2,23,110339,2311796.881,서울금천,5,7,13.01,서울특별시,금천구
8,1,2,5,12,3,8,11,31,216861,2963099.371,서울노원,6,1,35.44,서울특별시,노원구
9,1,0,4,2,0,6,3,19,138479,2524968.529,서울도봉,5,1,20.8,서울특별시,도봉구
10,3,5,3,8,0,5,6,22,163900,2677568.142,서울동대문,7,4,14.2,서울특별시,동대문구
11,1,3,3,10,4,5,5,21,180747,3194057.67,서울동작,5,5,16.36,서울특별시,동작구
12,4,1,3,32,8,16,2,35,174795,3562469.358,서울마포,5,4,23.87,서울특별시,마포구
13,7,5,4,20,10,10,3,20,139990,3125645.427,서울서대문,5,3,17.6,서울특별시,서대문구
14,8,1,11,46,15,15,4,27,173113,5713649.496,서울서초,6,6,47.04,서울특별시,서초구
15,1,1,2,10,6,9,3,24,136000,3534208.511,서울성동,7,5,16.85,서울특별시,성동구
16,0,2,4,13,3,6,7,26,192535,3126103.292,서울성북,6,2,24.57,서울특별시,성북구
17,6,2,4,29,5,18,4,43,278233,3896267.863,서울송파,8,6,33.9,서울특별시,송파구
18,2,1,2,15,4,6,7,23,177212,3566634.623,서울양천,4,5,17.4,서울특별시,양천구
19,7,2,3,35,11,10,9,35,174494,3329824.146,서울영등포,4,6,24.56,서울특별시,영등포구
20,3,1,7,18,5,9,2,13,109964,4772049.084,서울용산,6,5,21.87,서울특별시,용산구
21,1,1,2,8,5,4,3,25,207454,2627790.565,서울은평,4,3,29.7,서울특별시,은평구
22,5,2,5,36,11,10,3,31,73951,3882656.159,서울종로,6,3,23.9,서울특별시,종로구
23,1,2,8,52,13,26,4,30,62633,3603049.152,서울중구,6,4,9.96,서울특별시,중구
24,0,2,4,6,0,6,4,19,181400,2318482.787,서울중랑,8,4,18.5,서울특별시,중랑구
25,1,2,2,3,2,3,1,9,53242,2961808.928,부산강서,8,18,179.05,부산광역시,강서구
26,4,1,0,7,2,2,2,16,106984,2885474.066,부산금정,10,15,65.19,부산광역시,금정구
27,0,1,0,4,4,3,1,9,69103,2734355.217,부산기장,12,16,217.9,부산광역시,기장군
28,0,1,1,6,3,4,2,14,117518,2945393.249,부산남구,11,19,25.91,부산광역시,남구
29,0,0,2,4,2,3,1,8,44473,2188799.99,부산동구,10,17,9.77,부산광역시,동구
30,3,1,0,7,4,6,1,22,111867,2910055.503,부산동래,11,16,16.6,부산광역시,동래구
31,2,2,3,16,2,6,5,27,166660,2551933.53,부산부산진,10,16,29.7,부산광역시,부산진구
32,3,0,0,2,1,5,1,13,120061,2634608.438,부산북구,9,16,38.3,부산광역시,북구
33,0,2,1,3,2,5,2,14,96780,2264078.125,부산사상,9,17,35.8,부산광역시,사상구
34,0,2,1,7,2,14,0,16,138822,2453286.836,부산사하,9,19,40.89,부산광역시,사하구
35,3,4,3,5,5,6,2,17,52819,2512425.671,부산서구,9,18,13.67,부산광역시,서구
36,2,1,1,7,3,3,1,12,81385,2726341.832,부산수영,11,18,10.16,부산광역시,수영구
37,0,1,1,5,0,5,3,16,90131,2836433.155,부산연제,11,17,12.08,부산광역시,연제구
38,2,1,1,0,0,0,0,3,54909,2324155.2,부산영도,10,19,13.98,부산광역시,영도구
39,2,1,2,6,3,5,0,9,23153,1998952.987,부산중구,10,18,2.8,부산광역시,중구
40,3,3,4,27,4,24,2,20,168454,3415504.205,부산해운대,12,17,51.44,부산광역시,해운대구
41,2,1,0,1,0,5,0,4,74489,2183056.863,대구남구,9,14,17.44,대구광역시,남구
42,8,5,4,18,7,13,1,11,231678,2715163.751,대구달서,8,15,62.3,대구광역시,달서구
43,6,0,2,2,2,11,2,9,103513,2569232.265,대구달성,9,15,427.03,대구광역시,달성군
