store,sido,gungu
춘천명동점,강원,춘천시
동자희망나눔센터점,서울,용산구
수원매탄로점,경기,수원시
통영아울렛점,경남,통영시
경기의료원점,경기,의정부시
경남사천점,경남,사천시
군산(상)휴게소점,전북,군산시
목포북항점,전남,목포시
화천점,강원,화천군
대구복합환승센터점,대구,동구
포천일동점,경기,포천시
경산감못점,경북,경산시
덕소역 카페베네 (덕소역점),경기,남양주시
주안역점,인천,남구
광양이순신대교점,전남,광양시
전북대뉴실크로드점,전북,전주시
부산아트몰링점,부산,사하구
경북군위점,경북,군위군
강릉KTX점,강원,강릉시
순천풍덕점,전남,순천시
울산작천정점,울산,울주군
김천구미KTX점,경북,김천시
이마트트레이더스천안아산점,충남,아산시
경북영주점,경북,영주시
남원의료원점,전북,남원시
전주서신점,전북,전주시
진도점,전남,진도군
벡스코1관점,부산,해운대구
포스코켄텍점,경북,포항시
부산시청역사점,부산,연제구
대전관저점,대전,서구
속초중앙점,강원,속초시
애월곽지해수욕장점,제주특별자치도,제주시
퇴계원역점,경기,남양주시
천안용곡점,충남,천안시
선릉역점,서울,강남구
부산남포점,부산,중구
군산(하)휴게소점,전북,군산시
부천역사점,경기,부천시
익산영등동점,전북,익산시
더메이호텔점,경기,남양주시
엔터식스동탄점,경기,화성시
고창병원점,전북,고창군
평택청북점,경기,평택시
상봉역점,서울,중랑구
대천메리머드호텔점,충남,보령시
세종잭슨나인스점,세종특별자치시,나성북로
동대구역점,대구,동구
직영 대전농협하나로마트점,대전,중구
직영 경주월드공원점,경북,경주시
직영 원주세브란스기독병원점,강원,원주시
직영 경북대병원간이휴게소동점,대구,중구
직영 영대병원점,대구,남구
직영 고려대중앙광장점,서울,성북구
직영 연세원주장례사업소점,강원,원주시
직영 한양사이버대점,서울,성동구
사당역점,서울,관악구
부천워터파크점,경기,부천시
인천연수대동점,인천,연수구
인천주안점,인천,남구
부천역점,경기,부천시
대방역점,서울,동작구
면목홈플러스점,서울,중랑구
인천숭의점,인천,남구
대림점,서울,영등포구
방화역점,서울,강서구
등촌역점,서울,강서구
건대스타시티점,서울,광진구
청량리역점,서울,동대문구
건대2호점,서울,광진구
송탄출장소점,경기,평택시
홍천점,강원,홍천군
