name,pop,income,,,,,,
서울 강남구,232750,5857412.304,,,,,,
서울 강동구,182094,3026804.514,,,,,,
서울 강북구,144155,2255825.018,,,,,,
서울 강서구,262442,2902039.649,,,,,,
서울 관악구,268218,2475292.423,,,,,,
서울 광진구,164258,2956848.289,,,,,,
서울 구로구,176437,2708165.123,,,,,,
서울 금천구,110339,2311796.881,,,,,,
서울 노원구,216861,2963099.371,,,,,,
서울 도봉구,138479,2524968.529,,,,,,
서울 동대문구,163900,2677568.142,,,,,,
서울 동작구,180747,3194057.67,,,,,,
서울 마포구,174795,3562469.358,,,,,,
서울 서대문구,139990,3125645.427,,,,,,
서울 서초구,173113,5713649.496,,,,,,
서울 성동구,136000,3534208.511,,,,,,
서울 성북구,192535,3126103.292,,,,,,
서울 송파구,278233,3896267.863,,,,,,
서울 양천구,177212,3566634.623,,,,,,
서울 영등포구,174494,3329824.146,,,,,,
서울 용산구,109964,4772049.084,,,,,,
서울 은평구,207454,2627790.565,,,,,,
서울 종로구,73951,3882656.159,,,,,,
서울 중구,62633,3603049.152,,,,,,
서울 중랑구,181400,2318482.787,,,,,,
부산 강서구,53242,2961808.928,,,,,,
부산 금정구,106984,2885474.066,,,,,,
부산 기장군,69103,2734355.217,,,,,,
부산 남구,117518,2945393.249,,,,,,
부산 동구,44473,2188799.99,,,,,,
부산 동래구,111867,2910055.503,,,,,,
부산 부산진구,166660,2551933.53,,,,,,
부산 북구,120061,2634608.438,,,,,,
부산 사상구,96780,2264078.125,,,,,,
부산 사하구,138822,2453286.836,,,,,,
부산 서구,52819,2512425.671,,,,,,
부산 수영구,81385,2726341.832,,,,,,
부산 연제구,90131,2836433.155,,,,,,
부산 영도구,54909,2324155.2,,,,,,
부산 중구,23153,1998952.987,,,,,,
부산 해운대구,168454,3415504.205,,,,,,
대구 남구,74489,2183056.863,,,,,,
대구 달서구,231678,2715163.751,,,,,,
대구 달성군,103513,2569232.265,,,,,,
대구 동구,152484,2494076.034,,,,,,
대구 북구,179984,2481631.394,,,,,,
대구 서구,82826,1984215.577,,,,,,
대구 수성구,166806,3628839.209,,,,,,
대구 중구,38410,2668594.1,,,,,,
인천 강화군,33120,2464108.692,,,,,,
인천 계양구,123293,2326107.709,,,,,,
인천 남동구,221099,2254593.311,,,,,,
인천 동구,28709,2549577.063,,,,,,
인천 미추홀구,184890,2326898.172,,,,,,
인천 부평구,211902,2484852.696,,,,,,
인천 서구,217440,2654112.049,,,,,,
인천 연수구,140058,3471420.302,,,,,,
인천 옹진군,11735,2989856.151,,,,,,
인천 중구,64524,2660238.603,,,,,,
광주 광산구,160438,2742572.486,,,,,,
광주 남구,92057,2894915.275,,,,,,
광주 동구,47838,2786315.227,,,,,,
광주 북구,186885,2621045.452,,,,,,
광주 서구,128667,2940787.054,,,,,,
대전 대덕구,75810,2453182.155,,,,,,
대전 동구,104200,2294990.363,,,,,,
대전 서구,203429,2872928.266,,,,,,
대전 유성구,144887,3759123.581,,,,,,
대전 중구,106279,2552290.571,,,,,,
울산 남구,135140,3725125.086,,,,,,
울산 동구,65216,3359765.589,,,,,,
울산 북구,80803,3764093.449,,,,,,
