,caffe_pascucci,caffebene,tomandtoms,starbucks,hollys,twosome,yogerpresso,ediya,pop,income
0,19.0,2.0,24.0,76.0,15.0,40.0,3.0,40.0,5857412.304,232750.0
1,0.0,4.0,3.0,13.0,5.0,5.0,1.0,24.0,3026804.514,182094.0
2,1.0,2.0,1.0,5.0,1.0,5.0,4.0,20.0,2255825.018,144155.0
3,8.0,3.0,6.0,15.0,8.0,13.0,8.0,44.0,2902039.6489999997,262442.0
4,3.0,4.0,6.0,11.0,8.0,9.0,2.0,28.0,2475292.423,268218.0
5,2.0,2.0,7.0,15.0,6.0,9.0,6.0,24.0,2956848.289,164258.0
6,2.0,1.0,2.0,10.0,5.0,7.0,6.0,29.0,2708165.123,176437.0
7,0.0,1.0,2.0,10.0,3.0,11.0,2.0,23.0,2311796.881,110339.0
8,1.0,2.0,5.0,12.0,3.0,8.0,11.0,31.0,2963099.3710000003,216861.0
9,1.0,0.0,4.0,2.0,0.0,6.0,3.0,19.0,2524968.529,138479.0
10,3.0,5.0,3.0,8.0,0.0,5.0,6.0,22.0,2677568.142,163900.0
11,1.0,3.0,3.0,10.0,4.0,5.0,5.0,21.0,3194057.67,180747.0
12,4.0,1.0,3.0,32.0,8.0,16.0,2.0,35.0,3562469.358,174795.0
13,7.0,5.0,4.0,20.0,10.0,10.0,3.0,20.0,3125645.4269999997,139990.0
14,8.0,1.0,11.0,46.0,15.0,15.0,4.0,27.0,5713649.496,173113.0
15,1.0,1.0,2.0,10.0,6.0,9.0,3.0,24.0,3534208.5110000004,136000.0
16,0.0,2.0,4.0,13.0,3.0,6.0,7.0,26.0,3126103.292,192535.0
17,6.0,2.0,4.0,29.0,5.0,18.0,4.0,43.0,3896267.863,278233.0
18,2.0,1.0,2.0,15.0,4.0,6.0,7.0,23.0,3566634.623,177212.0
19,7.0,2.0,3.0,35.0,11.0,10.0,9.0,35.0,3329824.146,174494.0
20,3.0,1.0,7.0,18.0,5.0,9.0,2.0,13.0,4772049.084,109964.0
21,1.0,1.0,2.0,8.0,5.0,4.0,3.0,25.0,2627790.565,207454.0
22,5.0,2.0,5.0,36.0,11.0,10.0,3.0,31.0,3882656.159,73951.0
23,1.0,2.0,8.0,52.0,13.0,26.0,4.0,30.0,3603049.152,62633.0
24,0.0,2.0,4.0,6.0,0.0,6.0,4.0,19.0,2318482.787,181400.0
25,1.0,2.0,2.0,3.0,2.0,3.0,1.0,9.0,2961808.9280000003,53242.0
26,4.0,1.0,0.0,7.0,2.0,2.0,2.0,16.0,2885474.066,106984.0
27,0.0,1.0,0.0,4.0,4.0,3.0,1.0,9.0,2734355.2169999997,69103.0
28,0.0,1.0,1.0,6.0,3.0,4.0,2.0,14.0,2945393.249,117518.0
29,0.0,0.0,2.0,4.0,2.0,3.0,1.0,8.0,2188799.99,44473.0
30,3.0,1.0,0.0,7.0,4.0,6.0,1.0,22.0,2910055.503,111867.0
31,2.0,2.0,3.0,16.0,2.0,6.0,5.0,27.0,2551933.53,166660.0
32,3.0,0.0,0.0,2.0,1.0,5.0,1.0,13.0,2634608.438,120061.0
33,0.0,2.0,1.0,3.0,2.0,5.0,2.0,14.0,2264078.125,96780.0
34,0.0,2.0,1.0,7.0,2.0,14.0,0.0,16.0,2453286.836,138822.0
35,3.0,4.0,3.0,5.0,5.0,6.0,2.0,17.0,2512425.671,52819.0
36,2.0,1.0,1.0,7.0,3.0,3.0,1.0,12.0,2726341.832,81385.0
37,0.0,1.0,1.0,5.0,0.0,5.0,3.0,16.0,2836433.155,90131.0
38,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2324155.2,54909.0
39,2.0,1.0,2.0,6.0,3.0,5.0,0.0,9.0,1998952.987,23153.0
40,3.0,3.0,4.0,27.0,4.0,24.0,2.0,20.0,3415504.205,168454.0
41,2.0,1.0,0.0,1.0,0.0,5.0,0.0,4.0,2183056.863,74489.0
42,8.0,5.0,4.0,18.0,7.0,13.0,1.0,11.0,2715163.751,231678.0
43,6.0,0.0,2.0,2.0,2.0,11.0,2.0,9.0,2569232.265,103513.0
44,10.0,2.0,0.0,8.0,6.0,22.0,3.0,8.0,2494076.034,152484.0
45,5.0,2.0,1.0,7.0,5.0,9.0,6.0,12.0,2481631.394,179984.0
46,9.0,6.0,4.0,19.0,8.0,14.0,1.0,11.0,1984215.5769999998,82826.0
47,8.0,1.0,2.0,19.0,2.0,22.0,0.0,10.0,3628839.209,166806.0
48,3.0,2.0,3.0,9.0,1.0,20.0,2.0,9.0,2668594.1,38410.0
49,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2464108.692,33120.0
50,2.0,0.0,0.0,3.0,1.0,2.0,4.0,20.0,2326107.7090000003,123293.0
51,7.0,5.0,2.0,10.0,5.0,26.0,8.0,32.0,2254593.3109999998,221099.0
