,caffe_pascucci,caffebene,tomandtoms,starbucks,hollys,twosome,yogerpresso,ediya,pop,income
0,19.0,2.0,24.0,76.0,15.0,40.0,3.0,40.0,232750.0,5857412.304
1,0.0,4.0,3.0,13.0,5.0,5.0,1.0,24.0,182094.0,3026804.514
2,1.0,2.0,1.0,5.0,1.0,5.0,4.0,20.0,144155.0,2255825.018
3,8.0,3.0,6.0,15.0,8.0,13.0,8.0,44.0,262442.0,2902039.6489999997
4,3.0,4.0,6.0,11.0,8.0,9.0,2.0,28.0,268218.0,2475292.423
5,2.0,2.0,7.0,15.0,6.0,9.0,6.0,24.0,164258.0,2956848.289
6,2.0,1.0,2.0,10.0,5.0,7.0,6.0,29.0,176437.0,2708165.123
7,0.0,1.0,2.0,10.0,3.0,11.0,2.0,23.0,110339.0,2311796.881
8,1.0,2.0,5.0,12.0,3.0,8.0,11.0,31.0,216861.0,2963099.3710000003
9,1.0,0.0,4.0,2.0,0.0,6.0,3.0,19.0,138479.0,2524968.529
10,3.0,5.0,3.0,8.0,0.0,5.0,6.0,22.0,163900.0,2677568.142
11,1.0,3.0,3.0,10.0,4.0,5.0,5.0,21.0,180747.0,3194057.67
12,4.0,1.0,3.0,32.0,8.0,16.0,2.0,35.0,174795.0,3562469.358
13,7.0,5.0,4.0,20.0,10.0,10.0,3.0,20.0,139990.0,3125645.4269999997
14,8.0,1.0,11.0,46.0,15.0,15.0,4.0,27.0,173113.0,5713649.496
15,1.0,1.0,2.0,10.0,6.0,9.0,3.0,24.0,136000.0,3534208.5110000004
16,0.0,2.0,4.0,13.0,3.0,6.0,7.0,26.0,192535.0,3126103.292
17,6.0,2.0,4.0,29.0,5.0,18.0,4.0,43.0,278233.0,3896267.863
18,2.0,1.0,2.0,15.0,4.0,6.0,7.0,23.0,177212.0,3566634.623
19,7.0,2.0,3.0,35.0,11.0,10.0,9.0,35.0,174494.0,3329824.146
20,3.0,1.0,7.0,18.0,5.0,9.0,2.0,13.0,109964.0,4772049.084
21,1.0,1.0,2.0,8.0,5.0,4.0,3.0,25.0,207454.0,2627790.565
22,5.0,2.0,5.0,36.0,11.0,10.0,3.0,31.0,73951.0,3882656.159
23,1.0,2.0,8.0,52.0,13.0,26.0,4.0,30.0,62633.0,3603049.152
24,0.0,2.0,4.0,6.0,0.0,6.0,4.0,19.0,181400.0,2318482.787
25,1.0,2.0,2.0,3.0,2.0,3.0,1.0,9.0,53242.0,2961808.9280000003
26,4.0,1.0,0.0,7.0,2.0,2.0,2.0,16.0,106984.0,2885474.066
27,0.0,1.0,0.0,4.0,4.0,3.0,1.0,9.0,69103.0,2734355.2169999997
28,0.0,1.0,1.0,6.0,3.0,4.0,2.0,14.0,117518.0,2945393.249
29,0.0,0.0,2.0,4.0,2.0,3.0,1.0,8.0,44473.0,2188799.99
30,3.0,1.0,0.0,7.0,4.0,6.0,1.0,22.0,111867.0,2910055.503
31,2.0,2.0,3.0,16.0,2.0,6.0,5.0,27.0,166660.0,2551933.53
32,3.0,0.0,0.0,2.0,1.0,5.0,1.0,13.0,120061.0,2634608.438
33,0.0,2.0,1.0,3.0,2.0,5.0,2.0,14.0,96780.0,2264078.125
34,0.0,2.0,1.0,7.0,2.0,14.0,0.0,16.0,138822.0,2453286.836
35,3.0,4.0,3.0,5.0,5.0,6.0,2.0,17.0,52819.0,2512425.671
36,2.0,1.0,1.0,7.0,3.0,3.0,1.0,12.0,81385.0,2726341.832
37,0.0,1.0,1.0,5.0,0.0,5.0,3.0,16.0,90131.0,2836433.155
38,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,54909.0,2324155.2
39,2.0,1.0,2.0,6.0,3.0,5.0,0.0,9.0,23153.0,1998952.987
40,3.0,3.0,4.0,27.0,4.0,24.0,2.0,20.0,168454.0,3415504.205
41,2.0,1.0,0.0,1.0,0.0,5.0,0.0,4.0,74489.0,2183056.863
42,8.0,5.0,4.0,18.0,7.0,13.0,1.0,11.0,231678.0,2715163.751
43,6.0,0.0,2.0,2.0,2.0,11.0,2.0,9.0,103513.0,2569232.265
